[0.004s][info][gc] Using Serial
[40,624s][info][gc] GC(148) Pause Young (Allocation Failure) 1451M->1023M(1979M) 51,453ms
[40,862s][info][gc] GC(149) Pause Young (Allocation Failure) 1547M->1129M(1979M) 52,322ms
[41,106s][info][gc] GC(150) Pause Young (Allocation Failure) 1655M->1235M(1979M) 59,597ms
[41,358s][info][gc] GC(151) Pause Young (Allocation Failure) 1762M->1341M(1979M) 68,085ms
[42,436s][info][gc] GC(153) Pause Full (Allocation Failure) 1871M->832M(1979M) 864,424ms
[42,436s][info][gc] GC(152) Pause Young (Allocation Failure) 1871M->832M(1979M) 864,516ms
[42,685s][info][gc] GC(154) Pause Young (Allocation Failure) 1364M->939M(1979M) 51,874ms
[42,929s][info][gc] GC(155) Pause Young (Allocation Failure) 1472M->1046M(1979M) 53,270ms
[43,202s][info][gc] GC(156) Pause Young (Allocation Failure) 1582M->1154M(1979M) 62,834ms
[43,529s][info][gc] GC(157) Pause Young (Allocation Failure) 1691M->1262M(1979M) 62,899ms
[44,613s][info][gc] GC(159) Pause Full (Allocation Failure) 1801M->847M(1979M) 873,939ms
[44,613s][info][gc] GC(158) Pause Young (Allocation Failure) 1801M->847M(1979M) 874,003ms
[44,871s][info][gc] GC(160) Pause Young (Allocation Failure) 1388M->956M(1979M) 49,649ms
[45,117s][info][gc] GC(161) Pause Young (Allocation Failure) 1499M->1065M(1979M) 52,450ms
[45,371s][info][gc] GC(162) Pause Young (Allocation Failure) 1610M->1175M(1979M) 57,973ms
[45,593s][info][gc] GC(163) Pause Young (Allocation Failure) 1614M->1284M(1979M) 63,032ms
[46,627s][info][gc] GC(165) Pause Full (Allocation Failure) 1725M->861M(1979M) 876,546ms
[46,627s][info][gc] GC(164) Pause Young (Allocation Failure) 1725M->861M(1979M) 876,605ms
[46,845s][info][gc] GC(166) Pause Young (Allocation Failure) 1303M->971M(1979M) 51,747ms
[47,058s][info][gc] GC(167) Pause Young (Allocation Failure) 1414M->1081M(1979M) 53,293ms
[47,269s][info][gc] GC(168) Pause Young (Allocation Failure) 1526M->1192M(1979M) 56,617ms
[47,481s][info][gc] GC(169) Pause Young (Allocation Failure) 1638M->1303M(1979M) 57,000ms
[48,523s][info][gc] GC(171) Pause Full (Allocation Failure) 1750M->873M(1979M) 875,480ms
